id,nearc2,nearc4,nearc4a,nearc4b,ed76,ed66,age76,age76sq,exper,expersq,daded,nodaded,momed,nomomed,weight,momdad14,sinmom14,step14,reg661,reg662,reg663,reg664,reg665,reg666,reg667,reg668,reg669,south66,work76,work78,lwage76,lwage78,famed,f1,f2,f3,f4,f5,f6,f7,f8,black,smsa76r,smsa78r,reg76r,reg78r,reg80r,smsa66r,wage76,wage78,wage80,noint78,noint80,enroll76,enroll78,enroll80,kww,iq,marsta76,marsta78,marsta80,libcrd14
2,0,0,0,0,7,5,29,841,16,256,9.94,1,10.25,1,158413,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6.30627529,6.07484616,9,0,0,0,0,0,0,0,0,1,1,1.0,0,0.0,0.0,1,548.0,500.0,755.0,0,0,0,0.0,0.0,15.0,,1.0,1.0,1.0,0.0
3,0,0,0,0,12,11,27,729,9,81,8.0,0,8.0,0,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.17586727,,8,0,0,0,0,0,0,0,1,0,1,1.0,0,0.0,0.0,1,481.0,,769.0,0,0,0,0.0,0.0,35.0,93.0,1.0,4.0,4.0,1.0
4,0,0,0,0,12,12,34,1156,16,256,14.0,0,12.0,0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6.58063914,,2,0,1,0,0,0,0,0,0,0,1,,0,,,1,721.0,,,1,1,0,,,42.0,103.0,1.0,,,1.0
5,1,1,1,0,11,11,27,729,10,100,11.0,0,12.0,0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.52146092,,6,0,0,0,0,0,1,0,0,0,1,,0,,0.0,1,250.0,,,1,0,0,,0.0,25.0,88.0,1.0,,5.0,1.0
6,1,1,1,0,12,12,34,1156,16,256,8.0,0,7.0,0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.59167373,6.54484979,8,0,0,0,0,0,0,0,1,0,1,1.0,0,0.0,,1,729.0,800.0,,0,1,0,0.0,,34.0,108.0,1.0,1.0,,0.0
7,1,1,1,0,12,11,26,676,8,64,9.0,0,12.0,0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.2146081,6.19351769,6,0,0,0,0,0,1,0,0,0,1,1.0,0,0.0,0.0,1,500.0,563.0,630.0,0,0,0,0.0,0.0,38.0,85.0,1.0,4.0,4.0,1.0
8,1,1,1,0,18,16,33,1089,9,81,14.0,0,14.0,0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.33682573,6.46553598,1,1,0,0,0,0,0,0,0,0,1,1.0,0,0.0,0.0,1,565.0,739.0,808.0,0,0,0,0.0,0.0,41.0,119.0,1.0,1.0,1.0,1.0
9,1,1,1,0,14,13,29,841,9,81,14.0,0,14.0,0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.41017488,6.53100438,1,1,0,0,0,0,0,0,0,0,1,1.0,0,0.0,0.0,1,608.0,789.0,825.0,0,0,0,0.0,0.0,46.0,108.0,1.0,1.0,1.0,1.0
10,1,1,1,0,12,12,28,784,10,100,12.0,0,12.0,0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.05208917,6.14809662,3,0,0,1,0,0,0,0,0,0,1,1.0,0,0.0,0.0,1,425.0,538.0,650.0,0,0,0,0.0,0.0,32.0,96.0,4.0,4.0,4.0,0.0
11,1,1,1,0,12,12,29,841,11,121,12.0,0,12.0,0,480445,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.2441669,6.25716771,3,0,0,1,0,0,0,0,0,0,1,1.0,0,0.0,0.0,1,515.0,600.0,600.0,0,0,0,0.0,0.0,34.0,97.0,1.0,1.0,1.0,1.0
12,1,1,0,1,9,9,28,784,13,169,11.0,0,12.0,0,380166,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,5.4161004,5.64406324,6,0,0,0,0,0,1,0,0,0,1,1.0,0,0.0,0.0,1,225.0,325.0,,0,0,0,0.0,0.0,29.0,84.0,1.0,1.0,1.0,0.0
13,1,1,0,1,12,10,26,676,8,64,11.0,0,6.0,0,380166,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5.99146455,5.91232723,8,0,0,0,0,0,0,0,1,0,1,1.0,0,0.0,0.0,1,400.0,425.0,578.0,0,0,0,0.0,0.0,34.0,89.0,1.0,1.0,1.0,1.0
14,1,1,0,1,11,9,24,576,7,49,11.0,0,6.0,0,369567,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.03308622,,8,0,0,0,0,0,0,0,1,0,1,,0,,,1,417.0,,,1,1,0,,,22.0,93.0,1.0,,,1.0
15,1,1,0,1,11,9,30,900,13,169,11.0,0,6.0,0,496635,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5.37989735,6.06882808,8,0,0,0,0,0,0,0,1,0,1,1.0,0,0.0,0.0,1,217.0,497.0,563.0,0,0,0,0.0,0.0,27.0,74.0,1.0,1.0,1.0,0.0
16,1,1,0,1,16,16,31,961,9,81,9.94,1,8.0,0,648053,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,6.79570578,6.80528912,9,0,0,0,0,0,0,0,0,1,1,1.0,0,0.0,0.0,1,894.0,1038.0,1400.0,0,0,0,0.0,0.0,43.0,116.0,1.0,1.0,1.0,1.0
17,1,1,0,1,14,8,24,576,4,16,15.0,0,12.0,0,357519,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5.70378247,,2,0,1,0,0,0,0,0,0,0,1,1.0,0,0.0,0.0,1,300.0,,,0,0,0,0.0,0.0,36.0,,6.0,1.0,1.0,1.0
18,1,1,0,1,11,11,34,1156,17,289,7.0,0,12.0,0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,6,0,0,0,0,0,1,0,0,0,1,1.0,0,0.0,0.0,1,,,,0,0,0,0.0,0.0,37.0,104.0,1.0,1.0,1.0,0.0
19,1,1,0,1,12,12,34,1156,16,256,12.0,0,8.0,0,367470,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,5.84643878,5.78716408,5,0,0,0,0,1,0,0,0,0,1,1.0,0,0.0,0.0,1,346.0,375.0,,0,0,0,0.0,0.0,40.0,93.0,1.0,5.0,1.0,1.0
20,1,1,0,1,14,14,29,841,9,81,9.94,1,12.0,0,496635,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,6.48920493,6.52464708,4,0,0,0,1,0,0,0,0,0,1,1.0,0,0.0,0.0,1,658.0,784.0,936.0,0,0,0,0.0,0.0,35.0,100.0,1.0,1.0,1.0,1.0
22,1,1,0,1,10,9,26,676,10,100,8.0,0,8.0,0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6.35437004,6.29798971,8,0,0,0,0,0,0,0,1,0,1,1.0,0,0.0,0.0,1,575.0,625.0,600.0,0,0,0,0.0,0.0,24.0,91.0,6.0,6.0,6.0,0.0
24,1,1,0,1,10,9,27,729,11,121,9.94,1,8.0,0,367772,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,6.57440859,9,0,0,0,0,0,0,0,0,0,1,1.0,0,0.0,0.0,1,,824.0,1020.0,0,0,0,0.0,0.0,38.0,82.0,1.0,1.0,1.0,0.0
25,1,1,0,1,12,12,32,1024,14,196,8.0,0,8.0,0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6.47543272,,8,0,0,0,0,0,0,0,1,0,1,,0,,,1,649.0,,,1,1,0,,,35.0,88.0,1.0,,,0.0
26,1,1,1,0,18,17,32,1024,8,64,12.0,0,13.0,0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6.85012617,7.00622253,2,0,1,0,0,0,0,0,0,0,1,1.0,1,1.0,0.0,1,944.0,1269.0,1849.0,0,0,0,0.0,0.0,43.0,,1.0,1.0,1.0,1.0
29,1,1,1,0,18,15,34,1156,10,100,9.94,1,8.0,0,408301,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6.41999493,6.70185353,9,0,0,0,0,0,0,0,0,0,1,1.0,0,0.0,0.0,1,614.0,936.0,1082.0,0,0,0,0.0,0.0,50.0,114.0,1.0,1.0,1.0,1.0
30,1,1,1,0,15,14,32,1024,11,121,5.0,0,14.0,0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6.58755001,6.60193875,6,0,0,0,0,0,1,0,0,0,0,0.0,0,0.0,0.0,1,726.0,847.0,1154.0,0,0,0,0.0,0.0,37.0,111.0,1.0,1.0,1.0,1.0
31,0,1,1,0,12,11,28,784,10,100,14.0,0,12.0,0,380166,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6.4035742,5.80040931,2,0,1,0,0,0,0,0,0,0,1,1.0,0,0.0,0.0,1,604.0,380.0,425.0,0,0,0,0.0,0.0,44.0,,1.0,5.0,5.0,1.0
32,0,1,1,0,12,12,32,1024,14,196,11.0,0,12.0,0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6.54103,6.62412297,6,0,0,0,0,0,1,0,0,0,1,1.0,0,0.0,0.0,1,693.0,866.0,1000.0,0,0,0,0.0,0.0,44.0,95.0,1.0,1.0,1.0,1.0
34,0,1,1,0,14,10,25,625,5,25,8.0,0,12.0,0,739134,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,6,0,0,0,0,0,1,0,0,0,1,1.0,0,0.0,0.0,1,,,,0,0,0,0.0,0.0,30.0,94.0,6.0,6.0,6.0,1.0
35,0,1,1,0,18,15,34,1156,10,100,14.0,0,13.0,0,367470,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,7.24422752,6.43809942,1,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1,1400.0,719.0,930.0,0,0,0,0.0,0.0,44.0,132.0,1.0,1.0,1.0,1.0
36,0,1,1,0,12,8,26,676,8,64,7.0,0,12.0,0,367772,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5.70378247,5.43996788,6,0,0,0,0,0,1,0,0,0,1,1.0,0,0.0,0.0,1,300.0,265.0,450.0,0,0,0,0.0,0.0,27.0,,6.0,6.0,6.0,1.0
37,0,1,1,0,18,13,32,1024,8,64,16.0,0,16.0,0,355491,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7.49554194,,1,1,0,0,0,0,0,0,0,0,1,,0,,,1,1800.0,,,1,1,0,,,38.0,109.0,5.0,,,1.0
38,0,1,1,0,12,10,25,625,7,49,11.0,0,12.0,0,357519,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6.02344759,5.91232723,6,0,0,0,0,0,1,0,0,0,1,1.0,0,0.0,0.0,1,413.0,425.0,530.0,0,0,0,0.0,0.0,43.0,108.0,1.0,1.0,1.0,1.0
39,0,1,1,0,14,12,29,841,9,81,9.94,1,16.0,0,496635,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,6.44888939,6.44502945,4,0,0,0,1,0,0,0,0,0,0,0.0,0,0.0,0.0,0,632.0,724.0,921.0,0,0,0,0.0,0.0,45.0,102.0,1.0,1.0,1.0,1.0
